,ticker,model,accuracy,precision,F1,AUC
0,FIX,Suuport Vector Machine,0.8728029602220166,0.8905038759689923,0.8698532891623284,0.954604851608089
1,FIX,Extra Trees Classifier,0.9037927844588344,0.9217391304347826,0.9017013232514178,0.9715988296717073
2,TSLA,Suuport Vector Machine,0.8780487804878049,0.8679245283018868,0.882301656495205,0.957205177435576
3,TSLA,Extra Trees Classifier,0.9033423667570009,0.8987783595113438,0.9058927000879508,0.9710940663244649
4,CNP,Suuport Vector Machine,0.8251618871415356,0.8097731239092496,0.8307967770814684,0.9083141636542886
5,CNP,Extra Trees Classifier,0.910268270120259,0.9138888888888889,0.9105166051660517,0.9729694688629642
6,DLTR,Suuport Vector Machine,0.8519888991674376,0.8497695852534562,0.8521256931608133,0.935861066255219
7,DLTR,Extra Trees Classifier,0.9213691026827012,0.9267605633802817,0.9207089552238806,0.9781688013507257
8,WMS,Suuport Vector Machine,0.8091822094691535,0.8097826086956522,0.8175582990397805,0.9047783933518005
9,WMS,Extra Trees Classifier,0.8837876614060258,0.8954802259887006,0.8867132867132868,0.9506826276216858
10,HAS,Suuport Vector Machine,0.8649398704902868,0.8626919602529358,0.8673932788374205,0.940516448198979
11,HAS,Extra Trees Classifier,0.9042553191489362,0.8978494623655914,0.9063772048846674,0.9700418961540271
12,HIBB,Suuport Vector Machine,0.8788159111933395,0.8856877323420075,0.8791512915129153,0.9538247577967205
13,HIBB,Extra Trees Classifier,0.9107308048103607,0.9317963496637848,0.9095171120487575,0.976013744822156
14,RHI,Suuport Vector Machine,0.906567992599445,0.9023722627737226,0.9073394495412844,0.9716739178059683
15,RHI,Extra Trees Classifier,0.9172062904717854,0.9170506912442397,0.917473490087598,0.9793727621877331
16,TGT,Suuport Vector Machine,0.8889916743755781,0.8796718322698268,0.8894009216589862,0.964302005054356
17,TGT,Extra Trees Classifier,0.9232192414431082,0.9172033118675254,0.9231481481481483,0.9805865997088568
18,WBA,Suuport Vector Machine,0.8820536540240518,0.8713615023474178,0.8792041686404548,0.9571717140566212
19,WBA,Extra Trees Classifier,0.9181313598519889,0.9064546304957904,0.9163120567375886,0.9778804046135818
