Date,Open,High,Low,Close,Adj Close,Volume
17-08-2022,1039.75,1042.949951,1024.199951,1025.75,1025.75,1102323
18-08-2022,1028.5,1034.050049,1007.349976,1032.199951,1032.199951,1201720
19-08-2022,1029.050049,1036.599976,1020.099976,1030.099976,1030.099976,654004
22-08-2022,1016,1029.849976,1015.5,1022.549988,1022.549988,993053
23-08-2022,1010.200012,1046.800049,1010.200012,1040.650024,1040.650024,1868332
24-08-2022,1041,1053.849976,1026.050049,1037.349976,1037.349976,1562062
25-08-2022,1043.949951,1043.949951,1020.549988,1025.75,1025.75,1112617
26-08-2022,1030.900024,1035.699951,1018.5,1020.799988,1020.799988,1264070
29-08-2022,1000,1024,991.299988,1017.299988,1017.299988,1305557
30-08-2022,1018.5,1042.199951,1016.099976,1038.449951,1038.449951,1571042
01-09-2022,1026,1044.25,1019.400024,1023,1023,1528731
02-09-2022,1024,1031.199951,1012.049988,1015.599976,1015.599976,1655229
05-09-2022,1012.5,1030.449951,1012,1025.650024,1025.650024,1275368
06-09-2022,1025,1042,1024.900024,1040.849976,1040.849976,1369910
07-09-2022,1033.849976,1061.849976,1033,1051.5,1051.5,2471263
08-09-2022,1058.5,1059.75,1044,1056.050049,1056.050049,1755391
09-09-2022,1060,1065.949951,1055,1058.300049,1058.300049,1092235
12-09-2022,1058.300049,1068.5,1057.099976,1064.75,1064.75,936787
13-09-2022,1057.050049,1063,1052.650024,1058.900024,1058.900024,1144685
14-09-2022,1040,1068,1040,1059.949951,1059.949951,998799
15-09-2022,1060,1062.949951,1028.5,1033.300049,1033.300049,927244
16-09-2022,1038.5,1060,1034,1043.5,1043.5,2850439
19-09-2022,1043.949951,1043.949951,1015,1036.300049,1036.300049,2073673
20-09-2022,1041.5,1097.550049,1039.5,1092.300049,1092.300049,2491392
21-09-2022,1100,1101.849976,1064.25,1070.400024,1070.400024,2283817
22-09-2022,1061.150024,1071.800049,1051,1061.900024,1061.900024,1634304
23-09-2022,1067.25,1093,1063.25,1068.099976,1068.099976,3268298
26-09-2022,1065.699951,1081.199951,1050.849976,1065.650024,1065.650024,1219450
27-09-2022,1070.949951,1104.900024,1069,1098.699951,1098.699951,2343041
28-09-2022,1101,1117.699951,1087.650024,1097.150024,1097.150024,3450534
29-09-2022,1100.550049,1121.650024,1088.099976,1115.849976,1115.849976,2093772
30-09-2022,1119.75,1128,1105.050049,1114.949951,1114.949951,1834565
03-10-2022,1116.800049,1144.900024,1115,1130.75,1130.75,2601710
04-10-2022,1138.849976,1147.5,1133,1144.650024,1144.650024,1911413
06-10-2022,1150.400024,1150.400024,1124,1134.449951,1134.449951,1561938
07-10-2022,1135,1147.199951,1129.050049,1130.5,1130.5,1182984
10-10-2022,1110,1131.5,1110,1118.849976,1118.849976,1583891
11-10-2022,1121.800049,1127.150024,1103.800049,1110.099976,1110.099976,1538943
12-10-2022,1111.599976,1118.050049,1099.199951,1108.449951,1108.449951,1231143
13-10-2022,1108.400024,1127.849976,1101.099976,1103.650024,1103.650024,1438932
14-10-2022,1115.099976,1120,1105.400024,1108.900024,1108.900024,1131139
17-10-2022,1108,1113.050049,1098.800049,1108.150024,1108.150024,1076392
18-10-2022,1113.699951,1130.199951,1110.300049,1125.849976,1125.849976,960283
19-10-2022,1131.5,1145,1119.099976,1122,1122,1300144
20-10-2022,1122,1142,1117,1136.800049,1136.800049,1633570
21-10-2022,1136.800049,1148,1132.5,1134.75,1134.75,1349759
24-10-2022,1145.599976,1150,1141.550049,1146.900024,1146.900024,129688
25-10-2022,1147,1164.849976,1146.900024,1155.900024,1155.900024,2210622
27-10-2022,1169.949951,1180.099976,1156.300049,1165.900024,1165.900024,2359658
28-10-2022,1169,1171.800049,1151,1155.199951,1155.199951,1087865
31-10-2022,1161,1177.849976,1159.050049,1167.400024,1167.400024,1554670
01-11-2022,1167.5,1185.25,1163.599976,1173.400024,1173.400024,1491658
02-11-2022,1173.550049,1178.400024,1156.199951,1159.25,1159.25,1479828
03-11-2022,1152.199951,1176,1151.099976,1163.099976,1163.099976,1992697
04-11-2022,1167.849976,1175.25,1141,1146.099976,1146.099976,1712836
07-11-2022,1146.099976,1152,1116.5,1130.900024,1130.900024,2006468
09-11-2022,1141.099976,1154.949951,1125,1129.400024,1129.400024,2068940
10-11-2022,1130,1152,1119,1122.300049,1122.300049,2028565
11-11-2022,1130,1143.849976,1116.650024,1121.400024,1121.400024,1513809
14-11-2022,1124.5,1133.599976,1118.199951,1129.5,1129.5,1501491
15-11-2022,1134.949951,1134.949951,1110.849976,1118.75,1118.75,1262746
16-11-2022,1120.949951,1136.449951,1117.25,1121.199951,1121.199951,1649021
17-11-2022,1125,1132.449951,1116.449951,1119.5,1119.5,1270387
18-11-2022,1124,1127.050049,1099.449951,1102.400024,1102.400024,1486381
21-11-2022,1104.949951,1108.199951,1093.75,1104.449951,1104.449951,1488424
22-11-2022,1107.449951,1109.699951,1097.199951,1104.099976,1104.099976,1302811
23-11-2022,1108.900024,1124.550049,1098.650024,1108,1108,2192276
