Date,Open,High,Low,Close,Adj Close,Volume
2022-06-08,2772.750000,2781.000000,2716.300049,2724.050049,2715.873291,5759172
2022-06-09,2710.000000,2803.000000,2710.000000,2798.750000,2790.349121,7973935
2022-06-10,2771.899902,2789.899902,2701.500000,2714.250000,2706.102783,8349943
2022-06-13,2650.000000,2672.800049,2616.300049,2662.899902,2654.906738,8131998
2022-06-14,2650.050049,2671.850098,2613.449951,2628.100098,2620.211426,6790653
2022-06-15,2617.550049,2637.300049,2584.399902,2596.300049,2588.506836,5166738
2022-06-16,2623.000000,2659.050049,2554.000000,2560.000000,2552.315674,7896943
2022-06-17,2560.000000,2624.850098,2556.100098,2590.000000,2582.225586,11286988
2022-06-20,2605.000000,2617.100098,2521.100098,2543.050049,2535.416504,5568825
2022-06-21,2560.000000,2593.399902,2528.300049,2584.100098,2576.343506,5408801
2022-06-22,2558.100098,2558.300049,2501.000000,2505.600098,2498.079102,4899839
2022-06-23,2515.050049,2525.000000,2445.000000,2464.949951,2457.551025,8974475
2022-06-24,2480.000000,2511.000000,2468.000000,2500.050049,2492.545654,6571866
2022-06-27,2544.949951,2544.949951,2481.550049,2492.649902,2485.167725,7141493
2022-06-28,2482.100098,2533.949951,2482.100098,2527.699951,2520.112549,6263867
2022-06-29,2507.199951,2597.000000,2501.000000,2580.149902,2572.405029,8863172
2022-06-30,2580.000000,2615.899902,2566.000000,2595.649902,2587.858643,10666627
2022-07-01,2574.899902,2592.000000,2365.000000,2408.699951,2401.469727,37841671
2022-07-04,2378.949951,2442.000000,2366.100098,2413.699951,2406.454834,19317335
2022-07-05,2423.000000,2464.899902,2417.100098,2433.250000,2425.946045,8144239
2022-07-06,2420.100098,2441.949951,2388.000000,2411.850098,2404.610352,11050026
2022-07-07,2425.899902,2433.250000,2375.000000,2388.100098,2380.931641,10753423
2022-07-08,2418.000000,2418.000000,2382.550049,2391.399902,2384.221680,8773162
2022-07-11,2376.500000,2428.800049,2370.000000,2423.899902,2416.624023,6390604
2022-07-12,2404.000000,2439.699951,2404.000000,2420.449951,2413.184570,4974502
2022-07-13,2427.300049,2434.000000,2373.000000,2377.550049,2370.413330,6564435
2022-07-14,2388.000000,2433.949951,2376.949951,2397.149902,2389.954346,7831798
2022-07-15,2415.000000,2415.000000,2383.100098,2401.800049,2394.590576,4431880
2022-07-18,2421.000000,2425.000000,2392.300049,2422.250000,2414.979248,6996757
2022-07-19,2400.300049,2447.000000,2400.300049,2437.100098,2429.784668,7587006
2022-07-20,2540.000000,2542.500000,2486.250000,2503.000000,2495.486816,11041036
2022-07-21,2494.000000,2500.000000,2467.300049,2486.300049,2478.836914,7625468
2022-07-22,2500.000000,2516.300049,2495.000000,2503.100098,2495.586670,5062651
2022-07-25,2467.449951,2467.449951,2403.000000,2420.399902,2413.134521,10665470
2022-07-26,2421.100098,2443.899902,2411.350098,2421.500000,2414.231445,5216466
2022-07-27,2419.949951,2427.000000,2402.000000,2419.199951,2411.938232,3994321
2022-07-28,2436.000000,2467.949951,2421.000000,2457.100098,2449.724609,5766936
2022-07-29,2474.699951,2517.100098,2464.000000,2509.449951,2501.917480,6982808
2022-08-01,2519.149902,2587.750000,2507.600098,2574.850098,2567.121094,7245568
2022-08-02,2572.500000,2607.800049,2561.550049,2584.649902,2576.891602,6423115
2022-08-03,2600.000000,2610.000000,2567.449951,2606.350098,2598.526611,6576824
2022-08-04,2610.000000,2617.750000,2535.000000,2571.899902,2564.179932,6676577
2022-08-05,2576.000000,2578.800049,2526.949951,2534.000000,2526.393799,6434433
2022-08-08,2531.000000,2583.550049,2531.000000,2567.149902,2559.444092,4691228
2022-08-10,2576.899902,2589.899902,2557.050049,2582.500000,2574.748047,4949442
2022-08-11,2603.100098,2609.899902,2580.199951,2591.100098,2583.322510,3783480
2022-08-12,2590.300049,2641.350098,2582.199951,2633.000000,2625.096436,5838244
2022-08-16,2646.199951,2657.300049,2627.300049,2651.300049,2643.341553,3049304
2022-08-17,2665.000000,2676.899902,2655.550049,2665.149902,2657.149902,3044037
2022-08-18,2660.000000,2669.000000,2640.199951,2661.300049,2661.300049,3419730
2022-08-19,2650.000000,2661.699951,2604.949951,2613.850098,2613.850098,4366123
2022-08-22,2617.000000,2631.300049,2586.000000,2606.600098,2606.600098,4371179
2022-08-23,2594.000000,2653.199951,2591.350098,2646.800049,2646.800049,4466619
2022-08-24,2640.100098,2670.000000,2635.350098,2639.750000,2639.750000,4785579
2022-08-25,2648.949951,2662.899902,2622.600098,2632.050049,2632.050049,3632902
2022-08-26,2633.000000,2650.000000,2607.000000,2618.000000,2618.000000,4957449
2022-08-29,2585.000000,2655.000000,2578.050049,2597.649902,2597.649902,9155684
2022-08-30,2614.000000,2645.250000,2576.600098,2637.949951,2637.949951,10678670
2022-09-01,2582.649902,2604.949951,2550.699951,2560.399902,2560.399902,9188434
2022-09-02,2560.399902,2575.350098,2525.699951,2530.500000,2530.500000,5999196
2022-09-05,2531.000000,2581.500000,2531.000000,2569.800049,2569.800049,5227785
2022-09-06,2573.000000,2606.000000,2572.000000,2596.850098,2596.850098,5030172
2022-09-07,2575.000000,2594.899902,2570.000000,2581.750000,2581.750000,3455942
2022-09-08,2588.250000,2598.000000,2571.000000,2585.399902,2585.399902,3256840
2022-09-09,2610.000000,2610.000000,2564.000000,2569.300049,2569.300049,3837302
2022-09-12,2570.550049,2612.000000,2570.550049,2598.050049,2598.050049,3431445
2022-09-13,2618.000000,2629.699951,2601.000000,2619.750000,2619.750000,4102114
2022-09-14,2575.000000,2610.000000,2572.750000,2588.350098,2588.350098,4004997
2022-09-15,2583.000000,2603.550049,2556.750000,2562.699951,2562.699951,4783723
2022-09-16,2543.750000,2553.000000,2491.000000,2499.199951,2499.199951,9330469
2022-09-19,2499.199951,2522.699951,2481.350098,2502.449951,2502.449951,3498286
2022-09-20,2522.449951,2537.699951,2494.699951,2502.850098,2502.850098,3881882
2022-09-21,2496.750000,2533.000000,2495.000000,2509.750000,2509.750000,4249172
2022-09-22,2486.000000,2503.000000,2472.100098,2486.100098,2486.100098,4757219
2022-09-23,2485.000000,2495.949951,2436.100098,2439.500000,2439.500000,4397194
2022-09-26,2394.050049,2417.800049,2375.149902,2377.350098,2377.350098,5759298
2022-09-27,2394.000000,2426.000000,2360.100098,2396.250000,2396.250000,7455448
2022-09-28,2360.350098,2378.000000,2327.100098,2332.449951,2332.449951,7844140
2022-09-29,2360.000000,2367.500000,2313.000000,2325.300049,2325.300049,6771046
2022-09-30,2311.000000,2402.000000,2311.000000,2377.750000,2377.750000,8589908
2022-10-03,2391.500000,2416.949951,2363.000000,2369.500000,2369.500000,5470030
2022-10-04,2397.800049,2418.000000,2390.149902,2413.199951,2413.199951,4129893
2022-10-06,2429.000000,2450.000000,2418.149902,2422.100098,2422.100098,6162021
2022-10-07,2414.649902,2443.899902,2414.649902,2432.350098,2432.350098,3560167
2022-10-10,2405.000000,2417.600098,2388.000000,2405.800049,2405.800049,2921076
2022-10-11,2414.000000,2414.000000,2351.100098,2357.899902,2357.899902,4252803
2022-10-12,2352.000000,2381.699951,2343.100098,2375.250000,2375.250000,3422992
2022-10-13,2371.399902,2394.000000,2360.100098,2382.800049,2382.800049,3382098
2022-10-14,2415.000000,2416.350098,2369.100098,2370.699951,2370.699951,4202459
2022-10-17,2355.000000,2414.000000,2343.600098,2408.750000,2408.750000,7720595
2022-10-18,2422.000000,2463.000000,2420.149902,2451.250000,2451.250000,5729899
2022-10-19,2454.500000,2527.850098,2441.699951,2493.899902,2493.899902,8882553
2022-10-20,2485.000000,2519.000000,2485.000000,2500.600098,2500.600098,4022919
2022-10-21,2507.699951,2516.800049,2467.000000,2471.600098,2471.600098,3804352
2022-10-24,2460.000000,2502.500000,2455.300049,2479.850098,2479.850098,1555270
2022-10-25,2499.000000,2499.000000,2438.000000,2441.550049,2441.550049,5645639
2022-10-27,2458.000000,2468.449951,2432.800049,2451.149902,2451.149902,5774775
2022-10-28,2465.000000,2535.000000,2459.449951,2526.149902,2526.149902,8126824
2022-10-31,2541.000000,2560.949951,2532.199951,2549.600098,2549.600098,5731802
2022-11-01,2600.000000,2600.000000,2508.000000,2529.850098,2529.850098,6443999
2022-11-02,2532.300049,2550.199951,2515.000000,2545.649902,2545.649902,4145144
2022-11-03,2529.850098,2559.550049,2525.050049,2555.149902,2555.149902,3089026
2022-11-04,2553.899902,2600.000000,2551.100098,2592.750000,2592.750000,5803737
2022-11-07,2591.000000,2610.300049,2574.000000,2606.600098,2606.600098,5440967
2022-11-09,2610.300049,2621.949951,2590.050049,2604.000000,2604.000000,5193814
2022-11-10,2590.000000,2596.550049,2563.000000,2572.500000,2572.500000,2753420
2022-11-11,2600.000000,2636.000000,2588.000000,2631.800049,2631.800049,5681124
2022-11-14,2630.750000,2642.000000,2605.149902,2619.050049,2619.050049,4173395
2022-11-15,2622.300049,2626.399902,2590.000000,2607.300049,2607.300049,3270388
2022-11-16,2610.000000,2615.949951,2581.350098,2592.350098,2592.350098,4484007
2022-11-17,2584.949951,2613.000000,2580.000000,2599.050049,2599.050049,3074259
2022-11-18,2606.750000,2609.000000,2571.100098,2597.649902,2597.649902,2447425
2022-11-21,2588.000000,2588.000000,2543.100098,2550.899902,2550.899902,2949108
2022-11-22,2545.000000,2568.500000,2536.500000,2565.050049,2565.050049,3051201
2022-11-23,2575.000000,2577.899902,2552.250000,2557.050049,2557.050049,2959787
2022-11-24,2566.000000,2594.000000,2548.199951,2579.100098,2579.100098,4333225
2022-11-25,2589.000000,2624.899902,2582.100098,2617.600098,2617.600098,3391988
2022-11-28,2608.899902,2721.050049,2502.000000,2707.550049,2707.550049,14549929
2022-11-29,2703.949951,2731.649902,2694.000000,2712.199951,2712.199951,5103687
2022-11-30,2712.500000,2745.449951,2698.199951,2731.350098,2731.350098,12075137
2022-12-01,2741.800049,2755.000000,2716.000000,2723.300049,2723.300049,4377696
2022-12-02,2730.000000,2748.000000,2700.600098,2722.149902,2722.149902,5348595
2022-12-05,2712.000000,2716.750000,2678.000000,2682.449951,2682.449951,6843367
2022-12-06,2665.100098,2697.000000,2661.000000,2690.199951,2690.199951,3966243
2022-12-07,2685.000000,2695.000000,2642.149902,2650.500000,2650.500000,3905263
