Date,High,Low,Open,Close,Volume,Adj Close
04-01-2010,7.660714149,7.585000038,7.622499943,7.643214226,493729600,6.515213013
05-01-2010,7.699643135,7.616071224,7.664286137,7.656428814,601904800,6.52647543
06-01-2010,7.686786175,7.526785851,7.656428814,7.534643173,552160000,6.422664165
07-01-2010,7.571428776,7.466071129,7.5625,7.520713806,477131200,6.410789967
08-01-2010,7.571428776,7.466429234,7.510714054,7.570713997,447610800,6.453411579
11-01-2010,7.607142925,7.444643021,7.599999905,7.503929138,462229600,6.396483898
12-01-2010,7.491786003,7.372142792,7.471070766,7.418570995,594459600,6.32372427
13-01-2010,7.533214092,7.289286137,7.423929214,7.523213863,605892000,6.412922859
14-01-2010,7.516428947,7.465000153,7.503929138,7.479642868,432894000,6.375781059
15-01-2010,7.557143211,7.352499962,7.533214092,7.354642868,594067600,6.269228935
19-01-2010,7.685357094,7.401429176,7.440357208,7.679999828,730007600,6.546568394
20-01-2010,7.698214054,7.482142925,7.675356865,7.561786175,612152800,6.445798874
21-01-2010,7.61821413,7.40035677,7.574285984,7.431070805,608154400,6.334379196
22-01-2010,7.410714149,7.041429043,7.385000229,7.0625,881767600,6.020200729
25-01-2010,7.310713768,7.149642944,7.232500076,7.252500057,1065699600,6.182159901
26-01-2010,7.632500172,7.235000134,7.35535717,7.355000019,1867110000,6.269535065
27-01-2010,7.520713806,7.126070976,7.387499809,7.424285889,1722568400,6.328594208
28-01-2010,7.339285851,7.096428871,7.318929195,7.117499828,1173502400,6.067082405
29-01-2010,7.221428871,6.794642925,7.181428909,6.859285831,1245952400,5.846979141
01-02-2010,7,6.83214283,6.870357037,6.954642773,749876400,5.928261757
02-02-2010,7.011428833,6.906428814,6.996786118,6.994999886,698342400,5.962663174
03-02-2010,7.150000095,6.943571091,6.970356941,7.115356922,615328000,6.065257072
04-02-2010,7.084642887,6.841785908,7.026071072,6.858929157,757652000,5.846673489
05-02-2010,7,6.816071033,6.879642963,6.980713844,850306800,5.950485706
08-02-2010,7.067142963,6.928571224,6.988928795,6.932857037,478270800,5.90969038
09-02-2010,7.053571224,6.955357075,7.014999866,7.00678587,632886800,5.972708702
10-02-2010,7.021429062,6.937857151,6.996070862,6.968571186,370361600,5.940134048
